index,Country,Year,dataset,Age,variable,Single.Person_EDHIW,Head.or.Spouse_EDHIW,children,other,EDHIW
1,au,2001,au2001,14 Under,EDHIW,,,,17858,17858
2,au,2001,au2001,15 to 19 years,EDHIW,,19397,23879,19397,23510
3,au,2001,au2001,20 to 29 years,EDHIW,22081,25131,29176,30654,26955
4,au,2001,au2001,30 to 39 years,EDHIW,24167,21220,24552,28695,21866
5,au,2001,au2001,40 to 49 years,EDHIW,22671,24799,25209,30995,24751
6,au,2001,au2001,50 to 59 years,EDHIW,14464,25777,,19021,24142
7,au,2001,au2001,60 to 69 years,EDHIW,10474,15806,,19084,15026
8,au,2001,au2001,70 to 79 years,EDHIW,10156,13818,,20268,12605
9,au,2001,au2001,80 years and over,EDHIW,,,,,
11,au,2003,au2003,14 Under,EDHIW,,,,18274,18274
12,au,2003,au2003,15 to 19 years,EDHIW,,18263,24111,21071,23451
13,au,2003,au2003,20 to 29 years,EDHIW,21502,24260,30846,28884,27005
14,au,2003,au2003,30 to 39 years,EDHIW,24029,21780,25348,31650,22553
15,au,2003,au2003,40 to 49 years,EDHIW,22487,24822,22110,27864,24631
16,au,2003,au2003,50 to 59 years,EDHIW,16533,27198,20959,21652,25785
17,au,2003,au2003,60 to 69 years,EDHIW,11094,16870,,21588,15598
18,au,2003,au2003,70 to 79 years,EDHIW,10451,14084,,21267,12893
19,au,2003,au2003,80 years and over,EDHIW,,,,,
21,au,2008,au2008,14 Under,EDHIW,,,25016,28313,25020
22,au,2008,au2008,15 to 19 years,EDHIW,,29961,30785,28998,30295
23,au,2008,au2008,20 to 29 years,EDHIW,27133,34790,37799,40147,36038
24,au,2008,au2008,30 to 39 years,EDHIW,31977,30739,31431,39263,30916
25,au,2008,au2008,40 to 49 years,EDHIW,27554,33016,30035,30184,32192
26,au,2008,au2008,50 to 59 years,EDHIW,24695,34861,21293,32891,33038
27,au,2008,au2008,60 to 69 years,EDHIW,14824,23269,,26246,22201
28,au,2008,au2008,70 to 79 years,EDHIW,12226,17744,,28550,16175
29,au,2008,au2008,80 years and over,EDHIW,11819,16855,,34206,15483
31,au,2010,au2010,14 Under,EDHIW,,,24858,28050,24973
32,au,2010,au2010,15 to 19 years,EDHIW,,25683,30373,28813,30069
33,au,2010,au2010,20 to 29 years,EDHIW,28082,34808,39099,40801,36735
34,au,2010,au2010,30 to 39 years,EDHIW,34739,30542,30983,40234,31525
35,au,2010,au2010,40 to 49 years,EDHIW,26306,31969,26053,30954,31041
36,au,2010,au2010,50 to 59 years,EDHIW,23107,35440,26879,25462,33099
37,au,2010,au2010,60 to 69 years,EDHIW,14865,24753,23526,25683,22650
38,au,2010,au2010,70 to 79 years,EDHIW,13700,16920,,24956,16321
39,au,2010,au2010,80 years and over,EDHIW,12782,17495,,27742,15607
41,au,1985,au1985,14 Under,EDHIW,,,,17508,17508
