Year,Country,Survey,Age,EDHIW,perc,Head.or.Spouse_EDHIW,perc_spouse
1985,AU,AU85,Under 15 years,17508,87.72,*,-
1985,AU,AU85,15 to 19 years,23227,116.37,17571,88.04
1985,AU,AU85,20 to 24 years,26171,131.12,20573,103.08
1985,AU,AU85,25 to 29 years,23559,118.04,21305,106.74
1985,AU,AU85,30 to 34 years,20731,103.87,19840,99.40
1985,AU,AU85,35 to 39 years,21020,105.32,20524,102.83
1985,AU,AU85,40 to 44 years,23268,116.58,23126,115.87
1985,AU,AU85,45 to 49 years,24993,125.22,25134,125.93
1985,AU,AU85,50 to 54 years,26033,130.43,26609,133.32
1985,AU,AU85,55 to 59 years,23086,115.67,23549,117.99
1985,AU,AU85,60 to 64 years,16653,83.44,17814,89.25
1985,AU,AU85,65 to 69 years,12721,63.74,13287,66.57
1985,AU,AU85,70 to 74 years,11652,58.38,12243,61.34
1985,AU,AU85,75 to 79 years,11915,59.70,12841,64.34
1985,AU,AU85,TOTAL,19959,,20652,103.47
1989,AU,AU89,Under 15 years,17296,85.82,*,-
1989,AU,AU89,15 to 19 years,22184,110.08,17816,88.40
1989,AU,AU89,20 to 24 years,27409,136.00,24816,123.14
1989,AU,AU89,25 to 29 years,25016,124.13,22983,114.04
1989,AU,AU89,30 to 34 years,20682,102.62,19577,97.14
1989,AU,AU89,35 to 39 years,21024,104.32,20397,101.21
1989,AU,AU89,40 to 44 years,23263,115.43,23186,115.05
1989,AU,AU89,45 to 49 years,26047,129.25,26611,132.04
1989,AU,AU89,50 to 54 years,25782,127.93,26582,131.90
1989,AU,AU89,55 to 59 years,22142,109.87,23472,116.47
1989,AU,AU89,60 to 64 years,17212,85.41,18335,90.98
1989,AU,AU89,65 to 69 years,13358,66.28,14181,70.37
1989,AU,AU89,70 to 74 years,12781,63.42,13318,66.08
1989,AU,AU89,75 to 79 years,11724,58.17,13093,64.97
1989,AU,AU89,TOTAL,20153,,21126,104.83
1995,AU,AU95,Under 15 years,15922,85.81,*,-
1995,AU,AU95,15 to 19 years,20716,111.64,11962,64.46
1995,AU,AU95,20 to 24 years,25764,138.84,21568,116.23
1995,AU,AU95,25 to 29 years,24071,129.72,21968,118.39
1995,AU,AU95,30 to 34 years,19467,104.91,18504,99.72
1995,AU,AU95,35 to 39 years,18634,100.42,18192,98.04
1995,AU,AU95,40 to 44 years,21439,115.54,21106,113.74
1995,AU,AU95,45 to 49 years,23761,128.05,24161,130.21
1995,AU,AU95,50 to 54 years,23787,128.19,24907,134.23
1995,AU,AU95,55 to 59 years,19415,104.63,20465,110.29
1995,AU,AU95,60 to 64 years,13397,72.20,14648,78.94
1995,AU,AU95,65 to 69 years,12856,69.28,13728,73.98
1995,AU,AU95,70 to 74 years,12035,64.86,12882,69.42
1995,AU,AU95,75 to 79 years,10722,57.78,12109,65.26
1995,AU,AU95,TOTAL,18556,,19065,102.74
2001,AU,AU01,Under 15 years,17858,85.90,*,-
2001,AU,AU01,15 to 19 years,23510,113.09,19397,93.30
2001,AU,AU01,20 to 24 years,26413,127.05,22347,107.49
2001,AU,AU01,25 to 29 years,27348,131.55,25873,124.46
2001,AU,AU01,30 to 34 years,23037,110.81,22120,106.40
2001,AU,AU01,35 to 39 years,21000,101.01,20494,98.58
2001,AU,AU01,40 to 44 years,23785,114.41,23542,113.24
2001,AU,AU01,45 to 49 years,25981,124.97,26739,128.62
2001,AU,AU01,50 to 54 years,25649,123.38,27137,130.54
2001,AU,AU01,55 to 59 years,21866,105.18,23725,114.12
2001,AU,AU01,60 to 64 years,16832,80.97,18148,87.30
2001,AU,AU01,65 to 69 years,13754,66.16,14372,69.13
2001,AU,AU01,70 to 74 years,12440,59.84,13241,63.69
2001,AU,AU01,75 to 79 years,12696,61.07,14203,68.32
2001,AU,AU01,TOTAL,20789,,21834,105.03
2003,AU,AU03,Under 15 years,18274,86.73,*,-
2003,AU,AU03,15 to 19 years,23451,111.30,18263,86.67
2003,AU,AU03,20 to 24 years,27239,129.27,22927,108.81
2003,AU,AU03,25 to 29 years,26856,127.45,25441,120.74
2003,AU,AU03,30 to 34 years,23665,112.31,22715,107.80
2003,AU,AU03,35 to 39 years,21245,100.83,20924,99.30
2003,AU,AU03,40 to 44 years,22776,108.09,22627,107.38
2003,AU,AU03,45 to 49 years,27086,128.55,27563,130.81
2003,AU,AU03,50 to 54 years,27698,131.45,28833,136.84
2003,AU,AU03,55 to 59 years,23708,112.51,24957,118.44
2003,AU,AU03,60 to 64 years,17173,81.50,18819,89.31
2003,AU,AU03,65 to 69 years,14734,69.93,15325,72.73
2003,AU,AU03,70 to 74 years,13024,61.81,13993,66.41
2003,AU,AU03,75 to 79 years,12893,61.19,14144,67.13
2003,AU,AU03,TOTAL,21071,,22170,105.22
2008,AU,AU08,Under 15 years,25020,87.45,*,-
2008,AU,AU08,15 to 19 years,30295,105.89,29961,104.73
2008,AU,AU08,20 to 24 years,35637,124.57,33445,116.90
2008,AU,AU08,25 to 29 years,36595,127.91,35274,123.30
2008,AU,AU08,30 to 34 years,30905,108.03,30372,106.16
2008,AU,AU08,35 to 39 years,31001,108.36,30777,107.58
2008,AU,AU08,40 to 44 years,31146,108.87,31460,109.97
2008,AU,AU08,45 to 49 years,33382,116.68,34416,120.30
2008,AU,AU08,50 to 54 years,34825,121.73,36601,127.94
2008,AU,AU08,55 to 59 years,31499,110.10,32751,114.48
2008,AU,AU08,60 to 64 years,24180,84.52,25774,90.09
2008,AU,AU08,65 to 69 years,19407,67.84,20306,70.98
2008,AU,AU08,70 to 74 years,16620,58.09,18816,65.77
2008,AU,AU08,75 to 79 years,15914,55.63,16515,57.73
2008,AU,AU08,80 years and over,15483,54.12,16855,58.92
2008,AU,AU08,TOTAL,28609,,30106,105.23
2010,AU,AU10,Under 15 years,24973,87.82,*,-
2010,AU,AU10,15 to 19 years,30069,105.75,25683,90.32
2010,AU,AU10,20 to 24 years,35677,125.47,32008,112.57
2010,AU,AU10,25 to 29 years,37625,132.32,36037,126.73
2010,AU,AU10,30 to 34 years,33620,118.23,32569,114.54
2010,AU,AU10,35 to 39 years,29801,104.80,29527,103.84
2010,AU,AU10,40 to 44 years,29400,103.39,29580,104.03
2010,AU,AU10,45 to 49 years,33114,116.46,34140,120.06
2010,AU,AU10,50 to 54 years,34210,120.31,36019,126.67
2010,AU,AU10,55 to 59 years,31703,111.49,34222,120.35
2010,AU,AU10,60 to 64 years,25892,91.06,27679,97.34
2010,AU,AU10,65 to 69 years,19631,69.04,20727,72.89
2010,AU,AU10,70 to 74 years,17179,60.41,17694,62.23
2010,AU,AU10,75 to 79 years,15792,55.54,16072,56.52
2010,AU,AU10,80 years and over,15607,54.89,17495,61.53
2010,AU,AU10,TOTAL,28435,,29808,104.83
1987,CA,CA87,Under 15 years,21598,88.13,*,-
1987,CA,CA87,15 to 19 years,25357,103.46,15479,63.16
1987,CA,CA87,20 to 24 years,25778,105.18,21588,88.09
1987,CA,CA87,25 to 29 years,25618,104.53,24131,98.46
1987,CA,CA87,30 to 34 years,24903,101.61,24421,99.65
1987,CA,CA87,35 to 39 years,25602,104.46,25308,103.26
1987,CA,CA87,40 to 44 years,27628,112.73,27860,113.68
1987,CA,CA87,45 to 49 years,29862,121.85,29910,122.04
1987,CA,CA87,50 to 54 years,29055,118.55,29360,119.80
1987,CA,CA87,55 to 59 years,28174,114.96,29283,119.48
1987,CA,CA87,60 to 64 years,24257,98.98,25229,102.94
1987,CA,CA87,65 to 69 years,21259,86.74,22212,90.63
1987,CA,CA87,70 to 74 years,18524,75.58,19411,79.20
1987,CA,CA87,75 to 79 years,16617,67.80,18611,75.94
1987,CA,CA87,80 years and over,16829,68.67,16868,68.83
1987,CA,CA87,TOTAL,24508,,25653,104.67
1991,CA,CA91,Under 15 years,21545,88.50,*,-
1991,CA,CA91,15 to 19 years,24821,101.96,11526,47.34
1991,CA,CA91,20 to 24 years,26173,107.51,20395,83.77
1991,CA,CA91,25 to 29 years,25561,104.99,24191,99.37
1991,CA,CA91,30 to 34 years,24147,99.19,23383,96.05
