Country,Year,Survey,Age,Single.Person_EDHIW,Head.or.Spouse_EDHIW
Australia,2001,AU2001,14 and Under,0,0
Australia,2001,AU2001,15 to 19 years,0,19397
Australia,2001,AU2001,20 to 24 years,20812,22347
Australia,2001,AU2001,25 to 29 years,23940,25873
Australia,2001,AU2001,30 to 34 years,25709,22120
Australia,2001,AU2001,35 to 39 years,23215,20494
Australia,2001,AU2001,40 to 44 years,23804,23542
Australia,2001,AU2001,45 to 49 years,21673,26739
Australia,2001,AU2001,50 to 54 years,16686,27137
Australia,2001,AU2001,55 to 59 years,10338,23725
Australia,2001,AU2001,60 to 64 years,11109,18148
Australia,2001,AU2001,65 to 69 years,10066,14372
Australia,2001,AU2001,70 to 74 years,10202,13241
Australia,2001,AU2001,75 to 79 years,10066,14203
Australia,2001,AU2001,80 years and over,0,0
Australia,2003,AU2003,14 and Under,0,0
Australia,2003,AU2003,15 to 19 years,0,18263
Australia,2003,AU2003,20 to 24 years,18889,22927
Australia,2003,AU2003,25 to 29 years,23387,25441
Australia,2003,AU2003,30 to 34 years,25871,22715
Australia,2003,AU2003,35 to 39 years,23130,20924
Australia,2003,AU2003,40 to 44 years,25100,22627
Australia,2003,AU2003,45 to 49 years,20388,27563
Australia,2003,AU2003,50 to 54 years,19575,28833
Australia,2003,AU2003,55 to 59 years,13064,24957
Australia,2003,AU2003,60 to 64 years,11094,18819
Australia,2003,AU2003,65 to 69 years,11479,15325
Australia,2003,AU2003,70 to 74 years,10580,13993
Australia,2003,AU2003,75 to 79 years,10451,14144
Australia,2003,AU2003,80 years and over,0,0
Australia,2008,AU2008,14 and Under,0,0
Australia,2008,AU2008,15 to 19 years,0,29961
Australia,2008,AU2008,20 to 24 years,22403,33445
Australia,2008,AU2008,25 to 29 years,30965,35274
Australia,2008,AU2008,30 to 34 years,30759,30372
Australia,2008,AU2008,35 to 39 years,35563,30777
Australia,2008,AU2008,40 to 44 years,29723,31460
Australia,2008,AU2008,45 to 49 years,26173,34416
Australia,2008,AU2008,50 to 54 years,25183,36601
Australia,2008,AU2008,55 to 59 years,23881,32751
Australia,2008,AU2008,60 to 64 years,16440,25774
Australia,2008,AU2008,65 to 69 years,13999,20306
Australia,2008,AU2008,70 to 74 years,11365,18816
Australia,2008,AU2008,75 to 79 years,13076,16515
Australia,2008,AU2008,80 years and over,11819,16855
Australia,2010,AU2010,14 and Under,0,0
Australia,2010,AU2010,15 to 19 years,0,25683
Australia,2010,AU2010,20 to 24 years,22872,32008
Australia,2010,AU2010,25 to 29 years,30418,36037
Australia,2010,AU2010,30 to 34 years,35183,32569
Australia,2010,AU2010,35 to 39 years,34081,29527
Australia,2010,AU2010,40 to 44 years,28120,29580
Australia,2010,AU2010,45 to 49 years,24508,34140
Australia,2010,AU2010,50 to 54 years,24862,36019
Australia,2010,AU2010,55 to 59 years,21505,34222
Australia,2010,AU2010,60 to 64 years,15182,27679
Australia,2010,AU2010,65 to 69 years,14770,20727
Australia,2010,AU2010,70 to 74 years,14194,17694
Australia,2010,AU2010,75 to 79 years,13453,16072
Australia,2010,AU2010,80 years and over,12782,17495
